brand,model,type,price,fuel_type,mileage,year,transmission,seats
Maruti,Swift Dzire VDI,car,450000,Diesel,145500,2014,Manual,5
Skoda,Rapid 1.5 TDI Ambition,sedan,370000,Diesel,120000,2014,Manual,5
Honda,City 2017-2020 EXi,sedan,158000,Petrol,140000,2006,Manual,5
Hyundai,i20 Sportz Diesel,sedan,225000,Diesel,127000,2010,Manual,5
Maruti,Swift VXI BSIII,hashback,130000,Petrol,120000,2007,Manual,5
Hyundai,Xcent 1.2 VTVT E Plus,sedan,440000,Petrol,45000,2017,Manual,5
Maruti,Wagon R LXI DUO BSIII,sedan,96000,LPG,175000,2007,Manual,5
Maruti,800 DX BSII,suv,45000,Petrol,5000,2001,Manual,4
Toyota,Etios VXD,suv,350000,Diesel,90000,2011,Manual,5
Ford,Figo Diesel Celebration Edition,sedan,200000,Diesel,169000,2013,Manual,5
Renault,Duster 110PS Diesel RxL,suv,500000,Diesel,68000,2014,Manual,5
Maruti,Zen LX,sedan,92000,Petrol,100000,2005,Manual,5
Maruti,Swift Dzire VDi,sedan,280000,Diesel,140000,2009,Manual,5
Maruti,Swift 1.3 VXi,suv,200000,Petrol,80000,2007,Manual,5
Maruti,Wagon R LXI Minor,suv,180000,Petrol,90000,2009,Manual,5
Mahindra,KUV 100 mFALCON G80 K8 5str,sedan,400000,Petrol,40000,2016,Manual,5
Maruti,Ertiga SHVS VDI,suv,778000,Diesel,70000,2016,Manual,7
Hyundai,i20 1.4 CRDi Asta,sedan,500000,Diesel,53000,2012,Manual,5
Maruti,Alto LX,sedan,150000,Petrol,80000,2002,Manual,5
Hyundai,i20 2015-2017 Asta 1.4 CRDi,suv,680000,Diesel,100000,2016,Manual,5
Mahindra,Verito 1.5 D4 BSIII,sedan,174000,Diesel,100000,2011,Manual,5
Honda,WR-V i-DTEC VX,sedan,950000,Diesel,50000,2017,Manual,5
Maruti,Swift Dzire ZDI,sedan,525000,Diesel,40000,2015,Manual,5
Maruti,SX4 ZDI,sedan,600000,Diesel,72000,2012,Manual,5
Tata,Tigor 2017-2020 XZ,suv,500000,Petrol,35000,2018,Manual,5
Maruti,Baleno Delta 1.2,suv,575000,Petrol,45000,2016,Manual,5
Maruti,Alto 800 LXI,suv,275000,Petrol,28000,2017,Manual,5
Chevrolet,Enjoy TCDi LTZ 7 Seater,suv,300000,Diesel,70000,2013,Manual,7
Maruti,Wagon R LXI Minor,sedan,220000,Petrol,120000,2009,Manual,5
Maruti,Omni E MPI STD BS IV,sedan,254999,Petrol,25000,2018,Manual,8
Maruti,Vitara Brezza LDi Option,sedan,670000,Diesel,70000,2017,Manual,5
Fiat,Palio 1.2 ELX,sedan,70000,Petrol,50000,2003,Manual,5
Maruti,Omni 8 Seater BSIV,suv,150000,Petrol,35000,2012,Manual,5
Hyundai,i20 1.2 Asta Dual Tone,sedan,730000,Petrol,2388,2018,Manual,5
Hyundai,Verna VTVT 1.6 SX Option,suv,1149000,Petrol,5000,2019,Manual,5
Datsun,GO D,sedan,150000,Petrol,42000,2016,Manual,5
Tata,Safari DICOR 2.2 LX 4x2,sedan,425000,Diesel,60000,2011,Manual,7
Maruti,800 Std,suv,150000,Petrol,76000,2012,Manual,4
Jeep,Compass 1.4 Limited Plus BSIV,suv,2100000,Petrol,5000,2019,Automatic,5
Toyota,Fortuner 4x4 MT,suv,1500000,Diesel,77000,2014,Manual,7
Toyota,Innova 2.5 G (Diesel) 7 Seater BS IV,sedan,700000,Diesel,99000,2013,Manual,7
Mercedes-Benz,B Class B180,sedan,1450000,Diesel,27800,2014,Automatic,5
Honda,Amaze S Diesel,sedan,425000,Diesel,49800,2015,Manual,5
Mitsubishi,Pajero Sport 4X4,sedan,1090000,Diesel,151000,2013,Manual,7
Honda,City i DTEC S,suv,600000,Diesel,54700,2015,Manual,5
Maruti,Ciaz Zeta,sedan,850000,Petrol,64000,2018,Manual,5
Honda,Jazz VX Diesel,suv,525000,Diesel,63000,2015,Manual,5
Toyota,Innova Crysta 2.8 ZX AT BSIV,sedan,1650000,Diesel,127700,2016,Automatic,7
Toyota,Innova 2.5 G (Diesel) 7 Seater,sedan,950000,Diesel,99000,2016,Manual,7
Audi,A6 2.0 TDI Technology,suv,1750000,Diesel,33900,2013,Automatic,5
Toyota,Corolla Altis 1.8 VL CVT,suv,1590000,Petrol,25000,2018,Automatic,5
Audi,A6 2.0 TDI  Design Edition,suv,1689999,Diesel,50000,2013,Automatic,5
Mercedes-Benz,New C-Class 220 CDI AT,sedan,1425000,Diesel,59000,2013,Automatic,5
